matrix_index,block_group
370370201044,370370201044
370370201051,370370201051
370370201052,370370201052
370370201053,370370201053
370370201071,370370201071
370370201072,370370201072
370370201073,370370201073
370370201081,370370201081
370370201082,370370201082
370370202011,370370202011
370370202012,370370202012
370370202021,370370202021
370370202022,370370202022
370370202031,370370202031
370370202032,370370202032
370370203001,370370203001
370370203002,370370203002
370370203003,370370203003
370370204011,370370204011
370370204012,370370204012
370370204013,370370204013
370370204014,370370204014
370370204021,370370204021
370370204022,370370204022
370370204023,370370204023
370370204024,370370204024
370370205001,370370205001
370370205002,370370205002
370370205003,370370205003
370370205004,370370205004
370370206001,370370206001
370370206002,370370206002
370370206003,370370206003
370370206004,370370206004
370370206005,370370206005
370370207021,370370207021
370370207022,370370207022
370370207023,370370207023
370370207024,370370207024
370370207031,370370207031
370370207032,370370207032
370370207041,370370207041
370370207042,370370207042
370370207043,370370207043
370370208011,370370208011
370370208012,370370208012
370370208013,370370208013
370370208014,370370208014
370370208021,370370208021
370370208022,370370208022
370370208031,370370208031
370370208032,370370208032
370399301011,370399301011
370399301012,370399301012
370399301013,370399301013
370399301021,370399301021
370399301022,370399301022
370399302001,370399302001
370399302002,370399302002
370399303001,370399303001
370399303002,370399303002
370399304011,370399304011
370399304012,370399304012
370399304013,370399304013
370399304021,370399304021
370399304022,370399304022
370399305011,370399305011
370399305012,370399305012
370399305021,370399305021
370399305022,370399305022
370399305023,370399305023
370399306031,370399306031
370399306032,370399306032
370399306041,370399306041
370399306042,370399306042
370399306051,370399306051
370399306052,370399306052
370399306061,370399306061
370399306062,370399306062
370419301010,370419301010
370419301011,370419301011
370419301012,370419301012
370419301013,370419301013
370419301014,370419301014
370419301020,370419301020
370419301021,370419301021
370419301022,370419301022
370419302011,370419302011
370419302012,370419302012
370419302013,370419302013
370419302014,370419302014
370419302021,370419302021
370419302022,370419302022
370439501011,370439501011
370439501012,370439501012
370439501021,370439501021
370439501022,370439501022
370439502011,370439502011
370439502012,370439502012
370439502021,370439502021
370439502022,370439502022
370459501011,370459501011
370459501012,370459501012
370459501013,370459501013
370459501014,370459501014
370459501021,370459501021
370459501022,370459501022
370459502001,370459502001
370459502002,370459502002
370459502003,370459502003
370459502004,370459502004
370459503011,370459503011
370459503012,370459503012
370459503013,370459503013
370459503014,370459503014
370459503021,370459503021
370459503022,370459503022
370459503023,370459503023
370459503024,370459503024
370459504001,370459504001
370459504002,370459504002
370459504003,370459504003
370459504004,370459504004
370459504005,370459504005
370459504006,370459504006
370459505001,370459505001
370459505002,370459505002
370459505003,370459505003
370459506011,370459506011
370459506012,370459506012
370459506013,370459506013
370459506031,370459506031
370459506032,370459506032
370459506041,370459506041
370459506042,370459506042
370459507011,370459507011
370459507012,370459507012
370459507013,370459507013
370459507021,370459507021
370459507022,370459507022
370459508001,370459508001
370459508002,370459508002
370459508003,370459508003
370459509001,370459509001
370459509002,370459509002
370459509003,370459509003
370459510001,370459510001
370459510002,370459510002
370459510003,370459510003
370459511001,370459511001
370459511002,370459511002
370459511003,370459511003
370459512001,370459512001
370459512002,370459512002
370459512003,370459512003
370459512004,370459512004
370459512005,370459512005
370459512006,370459512006
370459513001,370459513001
370459513002,370459513002
370459514001,370459514001
370459514002,370459514002
370459514003,370459514003
370459514004,370459514004
370459514005,370459514005
370459515011,370459515011
